# 	 (GeV) 	 (pb)
Mass DiquarkSddCorrWithPartonLevelAcc
2000.0    0.71756482
3000.0    0.096479559
4000.0    0.013679526
5000.0    0.0018720320
6000.0    0.00026706864
7000.0    3.3766488e-05
8000.0    4.5970732e-06
8400.0    1.9492350e-06
8600.0    1.3972218e-06
9000.0    6.0135383e-07
10000.0    1.0291751e-07
